claim1_id,claim1_arxiv,claim1_title,claim1_text,claim1_condition,claim1_citations,claim1_confidence,claim2_id,claim2_arxiv,claim2_title,claim2_text,claim2_condition,claim2_citations,claim2_confidence,group_key,strategy,contradiction_type,classification_reason,avg_citations,avg_confidence,log_citations,significance_score
0,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,Chain-of-Thought improves Arithmetic Accuracy,"gsm8k, lamda",18447,5,5,2501.1036,FaceXBench: Evaluating Multimodal LLMs on Face Understanding,Chain-of-Thought improves Arithmetic Accuracy,"gsm8k, gpt-3.5",20,5,Chain-of-Thought|improves|Arithmetic Accuracy,same_SRO,Experimental_Condition_Contradiction,Rule engine: Experimental_Condition_Contradiction (confidence=0.20),9233.5,5.0,9.130701749315966,74.78421049589579
0,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,Chain-of-Thought improves Arithmetic Accuracy,"gsm8k, lamda",18447,5,8,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,Chain-of-Thought improves Arithmetic Accuracy,"rcc-8, ia, zero-shot, o3-mini, b=1, k=9",6,5,Chain-of-Thought|improves|Arithmetic Accuracy,same_SRO,Experimental_Condition_Contradiction,"Both claims state that Chain-of-Thought improves arithmetic accuracy, but they differ only in the experimental conditions (datasets, model, and parameters), so the apparent difference is due to different setups rather than a contradiction in the core finding.",9226.5,5.0,9.129943434904154,74.77966060942492
0,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,Chain-of-Thought improves Arithmetic Accuracy,"gsm8k, lamda",18447,5,10,2410.16924,SleepCoT: A Lightweight Personalized Sleep Health Model via Chain-of-Thought Distillation,Chain-of-Thought improves Arithmetic Accuracy,"sleepcot, sleep domain",4,5,Chain-of-Thought|improves|Arithmetic Accuracy,same_SRO,Experimental_Condition_Contradiction,"Both claims state that Chain-of-Thought improves arithmetic accuracy, but they differ only in the experimental conditions (gsm8k/lamda vs. sleepcot/sleep domain), so the apparent difference is due to different setups rather than a contradiction in the core claim.",9225.5,5.0,9.129835057316532,74.77901034389919
0,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,Chain-of-Thought improves Arithmetic Accuracy,"gsm8k, lamda",18447,5,12,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,Chain-of-Thought improves Arithmetic Accuracy,"mgsm, qwen instruct, cot-struct",1,5,Chain-of-Thought|improves|Arithmetic Accuracy,same_SRO,Experimental_Condition_Contradiction,"Both claims state that Chain-of-Thought improves arithmetic accuracy, but they differ only in the experimental conditions (different datasets and models: gsm8k/lamda vs mgsm/qwen instruct/cot-struct), so the apparent difference is due to different experimental setups rather than a contradiction in the core finding.",9224.0,5.0,9.129672468908728,74.77803481345236
0,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,Chain-of-Thought improves Arithmetic Accuracy,"gsm8k, lamda",18447,5,14,2511.23253,AgriCoT: A Chain-of-Thought Benchmark for Evaluating Reasoning in Vision-Language Models for Agriculture,Chain-of-Thought improves Arithmetic Accuracy,"gsm8k, gpt-3.5",0,5,Chain-of-Thought|improves|Arithmetic Accuracy,same_SRO,Experimental_Condition_Contradiction,Rule engine: Experimental_Condition_Contradiction (confidence=0.20),9223.5,5.0,9.12961826689782,74.77770960138692
0,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,Chain-of-Thought improves Arithmetic Accuracy,"gsm8k, lamda",18447,5,6,2506.07142,Prompting Science Report 2: The Decreasing Value of Chain of Thought in Prompting,Chain-of-Thought improves Arithmetic Accuracy,"gpqa diamond, sonnet 3.5, 100 samples",17,4,Chain-of-Thought|improves|Arithmetic Accuracy,same_SRO,Experimental_Condition_Contradiction,"Both claims state that Chain-of-Thought improves arithmetic accuracy, but they differ only in experimental conditions (different datasets and models), so the apparent contradiction is due to different setups rather than a genuine scientific dispute.",9232.0,4.5,9.130539301772627,72.78323581063577
0,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,Chain-of-Thought improves Arithmetic Accuracy,"gsm8k, lamda",18447,5,7,2505.09031,"Improving the Reliability of LLMs: Combining CoT, RAG, Self-Consistency, and Self-Verification",Chain-of-Thought improves Arithmetic Accuracy,"halueval, gpt-3.5-turbo",8,4,Chain-of-Thought|improves|Arithmetic Accuracy,same_SRO,Experimental_Condition_Contradiction,"Both claims state that Chain-of-Thought improves arithmetic accuracy, but they differ only in the experimental conditions (gsm8k/lamda vs. halueval/gpt-3.5-turbo), so the apparent difference is due to different setups rather than a contradiction in the core claim.",9227.5,4.5,9.130051800747346,72.78031080448407
0,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,Chain-of-Thought improves Arithmetic Accuracy,"gsm8k, lamda",18447,5,9,2504.18912,Inferring Questions from Programming Screenshots,Chain-of-Thought improves Arithmetic Accuracy,"stack overflow, gemini-1.5-pro, gpt-4o, llama-3.2",4,4,Chain-of-Thought|improves|Arithmetic Accuracy,same_SRO,Experimental_Condition_Contradiction,"Both claims state that Chain-of-Thought improves arithmetic accuracy, but they differ only in the experimental conditions (different datasets and models), so the apparent difference is due to different setups rather than a contradiction in the core finding.",9225.5,4.5,9.129835057316532,72.77901034389919
0,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,Chain-of-Thought improves Arithmetic Accuracy,"gsm8k, lamda",18447,5,13,2508.18743,CAC-CoT: Connector-Aware Compact Chain-of-Thought for Efficient Reasoning Data Synthesis Across Dual-System Cognitive Tasks,Chain-of-Thought improves Arithmetic Accuracy,"system-2 benchmarks, qwen model",1,4,Chain-of-Thought|improves|Arithmetic Accuracy,same_SRO,Experimental_Condition_Contradiction,"Both claims state that Chain-of-Thought improves arithmetic accuracy, but they differ only in the experimental conditions (gsm8k/lamda vs. system-2 benchmarks/qwen model), so the apparent difference is due to different setups rather than a direct contradiction.",9224.0,4.5,9.129672468908728,72.77803481345236
0,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,Large Language Model improves Arithmetic Accuracy,"gsm8k, lamda",18447,4,19,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,Large Language Model degrades Arithmetic Accuracy,"mgsm, qwen instruct, bengali",1,5,Large Language Model|OPPOSITE|Arithmetic Accuracy,opposite_rels,Experimental_Condition_Contradiction,"The claims directly contradict each other (improves vs degrades arithmetic accuracy), but this contradiction is explained by the different experimental conditions (gsm8k/lamda vs mgsm/qwen instruct/bengali), meaning they would likely agree if tested under the same conditions.",9224.0,4.5,9.129672468908728,72.77803481345236
